"","step","mean_vegetation_volume","max_bird","dispersal_distance","habitat_radius","count_turtles","mean_habitat_of_patches"
"454165",1000,4.2,4,3,1,591.4,46.0614512471655
"455166",1000,4.4,4,3,1,594.5,46.7244897959184
"456167",1000,4.6,4,3,1,620.3,47.5573696145125
"457168",1000,4.8,4,3,1,628.5,48.5913832199547
"458169",1000,5,4,3,1,665,50.1233560090703
"459170",1000,2,5,3,1,545.5,34.0759637188209
"460171",1000,2.2,5,3,1,588.4,36.7213151927438
"461172",1000,2.4,5,3,1,636.2,38.956462585034
"462173",1000,2.6,5,3,1,657.2,40.1446712018141
"463174",1000,2.8,5,3,1,708.8,42.8487528344671
"464175",1000,3,5,3,1,738.8,44.3956916099773
"465176",1000,3.2,5,3,1,758.2,45.2437641723356
"466177",1000,3.4,5,3,1,786.7,46.809977324263
"467178",1000,3.6,5,3,1,792.9,47.0607709750567
"468179",1000,3.8,5,3,1,819.3,48.3390022675737
"469180",1000,4,5,3,1,814.2,47.8884353741497
"470181",1000,4.2,5,3,1,850.8,49.2768707482993
"471182",1000,4.4,5,3,1,846.2,49.6823129251701
"472183",1000,4.6,5,3,1,841.7,49.1197278911565
"473184",1000,4.8,5,3,1,874.1,50.290022675737
"474185",1000,5,5,3,1,876.4,51.1145124716553
"475186",1000,2,6,3,1,753,37.7843537414966
"476187",1000,2.2,6,3,1,859.7,41.5977324263039
"477188",1000,2.4,6,3,1,833.6,41.2319727891156
"478189",1000,2.6,6,3,1,865.7,42.4707482993197
"479190",1000,2.8,6,3,1,905.6,44.0845804988662
"480191",1000,3,6,3,1,917,44.7421768707483
"481192",1000,3.2,6,3,1,905.7,44.3809523809524
